_id,timestamp,logging_type,client_type,test_id,room_id,scenario_type,client_username,client_id,state,iplocation,latest_circuit,error,LokiNetStatusText
63a5eeaf7d9c7a34f0fc241a,2022-12-23 18:08:47.460907,COMMAND_SESSION_SUCCESS,CnC,9c59f89a-c0cb-4456-8970-3e87c0baa880,68b80e67-290b-4274-a1c0-033a3ffa11aa,1,,,,,,,
63a5efb87d9c7a34f0fc2420,2022-12-23 18:13:12.218286,COMMAND_SESSION_SUCCESS,CnC,9c59f89a-c0cb-4456-8970-3e87c0baa880,b5ed05d5-d541-4ff8-829d-f5f81e74722d,2,,,,,,,
63a5f0277d9c7a34f0fc2426,2022-12-23 18:15:03.016289,COMMAND_SESSION_SUCCESS,CnC,9c59f89a-c0cb-4456-8970-3e87c0baa880,8b1cb51b-7422-4e49-ba05-f1bad0a3d1d1,3,,,,,,,
63a5f09a7d9c7a34f0fc242c,2022-12-23 18:16:58.983577,COMMAND_SESSION_SUCCESS,CnC,9c59f89a-c0cb-4456-8970-3e87c0baa880,f9d3d518-1a54-409e-8bfd-2bb88258af0e,4,,,,,,,
63a5f10b7d9c7a34f0fc2432,2022-12-23 18:18:51.007475,COMMAND_SESSION_SUCCESS,CnC,9c59f89a-c0cb-4456-8970-3e87c0baa880,301c06df-b82c-49cc-9815-328ad548b0a1,5,,,,,,,
63a5f1717d9c7a34f0fc2438,2022-12-23 18:20:33.145231,COMMAND_SESSION_SUCCESS,CnC,9c59f89a-c0cb-4456-8970-3e87c0baa880,cf7879e5-3c5d-4347-8271-8c19fe57dbc6,6,,,,,,,
63a5f1dc7d9c7a34f0fc243e,2022-12-23 18:22:20.156555,COMMAND_SESSION_SUCCESS,CnC,9c59f89a-c0cb-4456-8970-3e87c0baa880,2fdd8041-edcb-4f53-8b4e-d0a682cd8b4b,7,,,,,,,
63a5f2567d9c7a34f0fc2444,2022-12-23 18:24:22.584733,COMMAND_SESSION_SUCCESS,CnC,9c59f89a-c0cb-4456-8970-3e87c0baa880,c310a592-6ad1-4894-8736-30444c49ea51,8,,,,,,,
63a5f2b97d9c7a34f0fc244a,2022-12-23 18:26:01.976737,COMMAND_SESSION_SUCCESS,CnC,9c59f89a-c0cb-4456-8970-3e87c0baa880,2c90c2a3-f06e-4e59-b288-be02a227126b,9,,,,,,,
63a5f46d7d9c7a34f0fc245c,2022-12-23 18:33:17.116954,COMMAND_SESSION_SUCCESS,CnC,9c59f89a-c0cb-4456-8970-3e87c0baa880,ae437e78-8453-4d18-a8ef-00dcda4aaa58,12,,,,,,,
63a5f4e17d9c7a34f0fc2462,2022-12-23 18:35:13.786169,COMMAND_SESSION_SUCCESS,CnC,9c59f89a-c0cb-4456-8970-3e87c0baa880,922ef113-ae74-41db-b11d-120d3ca4852c,13,,,,,,,
63a5f54f7d9c7a34f0fc2468,2022-12-23 18:37:03.484933,COMMAND_SESSION_SUCCESS,CnC,9c59f89a-c0cb-4456-8970-3e87c0baa880,ebe1005a-5ac8-4a0b-bf11-aec28242f0e8,14,,,,,,,
63a5f5b47d9c7a34f0fc246e,2022-12-23 18:38:44.638313,COMMAND_SESSION_SUCCESS,CnC,9c59f89a-c0cb-4456-8970-3e87c0baa880,3fc4d9a0-7e27-4f2f-888e-bab4e7d0f19d,15,,,,,,,
63a5f6647d9c7a34f0fc2474,2022-12-23 18:41:40.364124,COMMAND_SESSION_SUCCESS,CnC,9c59f89a-c0cb-4456-8970-3e87c0baa880,0e71614e-f770-4c6a-88d7-556175e82789,16,,,,,,,
63a5f6de7d9c7a34f0fc247a,2022-12-23 18:43:42.506015,COMMAND_SESSION_SUCCESS,CnC,9c59f89a-c0cb-4456-8970-3e87c0baa880,e32f5448-7975-4b64-8e80-e56b619bb2b9,17,,,,,,,
63a5f7587d9c7a34f0fc2480,2022-12-23 18:45:44.028452,COMMAND_SESSION_SUCCESS,CnC,9c59f89a-c0cb-4456-8970-3e87c0baa880,dc519d49-b2c3-43c7-b5a9-cd18b456dff7,18,,,,,,,
63a5f8c07d9c7a34f0fc248e,2022-12-23 18:51:44.550784,COMMAND_SESSION_SUCCESS,CnC,fa733511-0286-4298-b3e0-03aaf5d8b273,02e4d1bd-d776-4cc4-9da6-9d086923aefa,1,,,,,,,
63a5f92e7d9c7a34f0fc2494,2022-12-23 18:53:34.889367,COMMAND_SESSION_SUCCESS,CnC,fa733511-0286-4298-b3e0-03aaf5d8b273,015c1e1f-b430-48f3-b378-e919f31034ab,2,,,,,,,
63a5f99c7d9c7a34f0fc249a,2022-12-23 18:55:24.633989,COMMAND_SESSION_SUCCESS,CnC,fa733511-0286-4298-b3e0-03aaf5d8b273,bc3bdd70-ceba-4325-9484-35ea7ec495ab,3,,,,,,,
63a5fa7a7d9c7a34f0fc24a6,2022-12-23 18:59:06.119487,COMMAND_SESSION_SUCCESS,CnC,fa733511-0286-4298-b3e0-03aaf5d8b273,5f23432d-aa8b-45de-aa09-dc2123aa0c8a,5,,,,,,,
63a5fae07d9c7a34f0fc24ac,2022-12-23 19:00:48.343351,COMMAND_SESSION_SUCCESS,CnC,fa733511-0286-4298-b3e0-03aaf5d8b273,9a8402ad-b01b-4ed0-a847-2308c25543da,6,,,,,,,
63a5fb427d9c7a34f0fc24b2,2022-12-23 19:02:26.293221,COMMAND_SESSION_SUCCESS,CnC,fa733511-0286-4298-b3e0-03aaf5d8b273,0f01299a-36b1-4aae-9d5f-606c6bba1402,7,,,,,,,
63a5fba77d9c7a34f0fc24b8,2022-12-23 19:04:07.013886,COMMAND_SESSION_SUCCESS,CnC,fa733511-0286-4298-b3e0-03aaf5d8b273,cdb7f6e1-9fd6-4354-b5b6-f581e15e658a,8,,,,,,,
63a5fc687d9c7a34f0fc24c4,2022-12-23 19:07:20.963947,COMMAND_SESSION_SUCCESS,CnC,fa733511-0286-4298-b3e0-03aaf5d8b273,31ccc8ac-2225-4eb9-bc3b-bd21fae88675,10,,,,,,,
