#
# The Tor Project
#
# URL: https://metrics.torproject.org/onionperf-throughput.csv?start=2022-12-23&end=2023-01-24&server=public
#
date,source,server,low,q1,md,q3,high
2023-01-02,op-hk6a,public,133,2445,3647,4766,7489
2023-01-02,op-hk7,public,115,2023,3761,5907,11335
2023-01-02,op-hk7a,public,128,2231,3761,5500,9320
2023-01-02,op-nl6,public,32,2369,5053,9069,19065
2023-01-02,op-us6,public,155,1638,3615,6168,10485
2023-01-02,op-us7,public,204,1936,3994,6553,12710
2023-01-03,op-de6a,public,2892,2892,2892,2892,2892
2023-01-03,op-hk6a,public,5825,5825,5825,5825,5825
2023-01-06,op-de6a,public,148,2772,5275,10485,20971
2023-01-06,op-de7a,public,166,2424,5667,9320,19065
2023-01-06,op-hk6,public,129,1481,2671,4092,7231
2023-01-06,op-hk6a,public,166,2178,3251,4462,7358
2023-01-06,op-hk7,public,288,1497,3524,5536,10754
2023-01-06,op-hk7a,public,86,1617,3554,5518,10485
2023-01-06,op-nl6,public,206,1708,3847,7049,13981
2023-01-06,op-us6,public,319,1726,4112,6657,10754
2023-01-06,op-us7,public,228,1906,4152,7358,14979
2023-01-07,op-de6a,public,91,3444,5825,10966,22075
2023-01-07,op-de7a,public,123,1959,4934,9320,19972
2023-01-07,op-hk6,public,69,1312,2974,4162,7231
2023-01-07,op-hk6a,public,144,1882,3302,4660,8065
2023-01-07,op-hk7,public,150,1461,3276,5277,8924
2023-01-07,op-hk7a,public,60,1466,3201,5518,9754
2023-01-07,op-nl6,public,41,1306,4609,9706,20971
2023-01-07,op-us6,public,288,1492,3744,6260,12336
2023-01-07,op-us7,public,145,2001,5417,8738,16777
2023-01-08,op-de6a,public,215,2463,4963,8924,18236
2023-01-08,op-de7a,public,218,2621,5745,11037,23301
2023-01-08,op-hk6,public,116,1684,2705,4236,7108
2023-01-08,op-hk6a,public,62,2255,3226,4415,7489
2023-01-08,op-hk7,public,154,1884,3901,5309,9754
2023-01-08,op-hk7a,public,230,2001,3727,5592,9754
2023-01-08,op-nl6,public,186,2330,4462,8388,15534
2023-01-08,op-us6,public,110,1880,4072,6260,11983
2023-01-08,op-us7,public,239,1740,4072,8065,14979
2023-01-09,op-de6a,public,108,2542,5242,9754,19972
2023-01-09,op-de7a,public,96,2649,6355,11037,23301
2023-01-09,op-hk6,public,27,1947,3302,4486,7489
2023-01-09,op-hk6a,public,115,1773,3226,4346,7626
2023-01-09,op-hk7,public,135,1513,3084,5084,8559
2023-01-09,op-hk7a,public,146,1654,3328,5053,9986
2023-01-09,op-nl6,public,80,1569,3761,7326,15534
2023-01-09,op-us6,public,242,1839,3495,5745,11335
2023-01-09,op-us7,public,165,1388,3847,7231,14463
2023-01-10,op-hk6a,public,2467,2467,2467,2467,2467
2023-01-13,op-hk7,public,0,0,0,0,0
2023-01-14,op-de6a,public,141,2270,5518,10485,22075
2023-01-14,op-de7a,public,94,2267,4712,8559,17476
2023-01-14,op-hk6,public,248,1407,3061,4194,7358
2023-01-14,op-hk6a,public,106,1446,2688,3994,7231
2023-01-14,op-hk7,public,151,1587,3084,4686,8559
2023-01-14,op-hk7a,public,80,1698,3302,5242,9320
2023-01-14,op-nl6,public,238,1769,3744,6260,12710
2023-01-14,op-us6,public,254,1417,3118,5326,9986
2023-01-14,op-us7,public,190,2044,4349,7326,13981
2023-01-15,op-de6a,public,82,1478,4173,7108,15534
2023-01-15,op-de7a,public,126,1635,4793,9754,20971
2023-01-15,op-hk6,public,275,1272,2504,3919,7231
2023-01-15,op-hk6a,public,120,1205,2714,4152,7108
2023-01-15,op-hk7,public,197,1049,2231,3510,7108
2023-01-15,op-hk7a,public,162,1666,3153,5130,10230
2023-01-15,op-nl6,public,318,1240,2892,6502,13981
2023-01-15,op-us6,public,107,999,2557,4534,9118
2023-01-15,op-us7,public,225,1351,3289,6557,11650
2023-01-16,op-de6a,public,120,1765,4112,7840,16777
2023-01-16,op-de7a,public,217,1647,3813,7876,16777
2023-01-16,op-hk6,public,161,963,2438,3847,7231
2023-01-16,op-hk6a,public,157,1383,2671,3847,7358
2023-01-16,op-hk7,public,116,1194,2330,4194,8559
2023-01-16,op-nl6,public,221,1028,2573,5825,11983
2023-01-16,op-us6,public,47,950,2741,4934,10754
2023-01-16,op-us7,public,223,1005,2452,5667,12336
2023-01-17,op-de6a,public,126,1533,4194,7913,17476
2023-01-17,op-de7a,public,150,1724,4392,8388,18236
2023-01-17,op-hk6,public,182,958,2236,3569,6990
2023-01-17,op-hk6a,public,65,1459,2843,3994,7626
2023-01-17,op-hk7,public,148,1265,2249,4185,8224
2023-01-17,op-nl6,public,208,1431,3177,5991,12710
2023-01-17,op-us6,public,101,1067,3201,5592,10754
2023-01-17,op-us7,public,130,1446,3437,7358,16131
2023-01-18,op-de6a,public,85,1765,4324,8065,17476
2023-01-18,op-de7a,public,260,1919,4877,9320,19972
2023-01-18,op-hk6,public,150,1215,2573,4152,7358
2023-01-18,op-hk6a,public,87,1585,2912,4204,7767
2023-01-18,op-hk7,public,154,950,2467,4279,8738
2023-01-18,op-nl6,public,137,1287,3647,6740,13530
2023-01-18,op-us6,public,231,909,2621,4559,9986
2023-01-18,op-us7,public,169,1052,2680,6553,14463
2023-01-19,op-de6a,public,163,1815,4766,11335,24672
2023-01-19,op-de7a,public,120,1405,4510,8924,19972
2023-01-19,op-hk6,public,77,1215,2383,4052,7108
2023-01-19,op-hk6a,public,56,1471,2796,4032,6765
2023-01-19,op-hk7,public,183,1074,2786,4486,8559
2023-01-19,op-nl6,public,104,1145,3039,7489,16131
2023-01-19,op-us6,public,104,1133,3410,5825,10485
2023-01-19,op-us7,public,157,1342,3711,7174,15534
2023-01-20,op-de6a,public,86,1716,3599,6903,14463
2023-01-20,op-de7a,public,220,1421,3495,7231,15534
2023-01-20,op-hk6,public,181,987,2273,3423,6765
2023-01-20,op-hk6a,public,82,1196,2526,3744,6990
2023-01-20,op-hk7,public,78,1028,2688,4510,7913
2023-01-20,op-nl6,public,156,1122,3153,5866,12710
2023-01-20,op-us6,public,157,1018,2511,4821,9532
2023-01-20,op-us7,public,188,1187,3153,7170,16131
2023-01-21,op-de6a,public,249,1662,3695,6452,13530
